"id","text"
1,"Warn and super soft. love it !"
2,"Love the high waist, prewashed softness, and relaxed fit. i normally wear a 27 in pilcro but sized down to a 26. for the first time in ages i have a pair of jeans that won's slide down because of the high waistline. i would never tuck anything in so it doesn't matter that it's high waisted but i don't have to worry about them sliding down over my muffin top. worth every penny."
3,"Nice jeans, but had to return. too tight in hips/thighs and big in waist."
4,"Im 5'1"" and about 110lbs. ordered the small because i do have some curves- it was huge- more like a large and didnt have much structure at all. the wool was very soft and stretchy. and like others have said- kinda orange- not true coral color. it fit me like a throw blanket- its going back for sure. might purchase again if the petite xs is back in stock and on sale- this should def be under $100."
5,""
6,"I am 5'8 154 pounds and ordered a medium. the coat is a bit bigger than expected and should have gone down a size. i'm keeping this size however because it is incredibly comfortable, roomy and perfect for mild winters. the wool does keep you warm in 50 degree weather."
7,"I saw this and tried to wait for it to go on sale, but it sold so fast, i wanted the black and i check everyday until they had my size, i love this coat main because of the wait it goes around the neck since i am not a scarf person, this is very cute, im glad i got it, even at the full price."
8,"These joggers are gorgeous--you can even dress them up! the quality and softness is amazing and very expensive looking. the fit is perfect not to mention the fact that they are very flattering.
really, i knew the minute i saw them, i would love them. but, i do have to say that the lovely model
wearing them ---the model with the wine colored shirt and the awesome red bag (i bought that too!!!)and that big smile sold me!. many thanks to retailer--personal stylists carolyn and blair. always so helpfu"
9,"I love sweater knit dresses and this the first one i've owned with a flare style that works. pattern placement is gorgeously done and is very slimming in a non-obvious way. i think the fabric is soft and warm. i wish the scoop neckline was a tad bit higher from a modesty standpoint. you may want to size down if you're not busty. i am 5'3"" and m petite was the perfect length on me. shout out to the reno distribution center for getting this amazing dress to me in 1.5 days?!?!?!!!"
10,"I have this wonderful sweater coat in three sizes (s,sp,m) in the coral, green"
11,"Oh my goodness! i just received this coat tonight. i love it! it is beautiful and stylish. i got the green which is amazing. i'm 5'2"" - weigh 115. ordered both s and xs. i'm keeping the s - more room in case a heavier sweater. get this! it's a classic! you will smile!"
12,"I wasn't sure what to expect with these pants. i couldn't figure out from the pictures what the material would actually be like. is it jersey? is it french terry? is it more traditional sweatshirt-type material? nope, turns out, they're like wearing pants made out of a fuzzy, flecked sweater. or like the thickest, loosest sweater-knit tights ever. surprise! they are the strangest pants i've ever owned, for sure, but i actually really like them. they're super comfortable and cozy warm. slightly i"
13,"This dress hung so nicely on my figure (small up top, bigger in the hips) that i couldn't pass it up. the lines are more flattering in person than in the photos. it might run a little small...i'm normally an extra small, but it was a little snug in the arms. however, the small was too big, so i would suggest sticking with your usual size. the saleslady said would stretch a little. i would have loved to try a petite, but the store didn't carry petite sizes. it will be my go-to holiday dress."
14,"I coveted this item since i first saw it on instagram. i finally bought it in coral. it's a beautiful coat, the color is lovely and i like the way the hood makes a cute collar when worn down. the only problem is it looks like a bathrobe on me. i am 5'5"" and wear a size 8. i bought a medium, worried a small would not button. the sleeves are far too long. i do not want to go through the trouble of returning, so gave it to my daughter who is four inches taller. it looks cute in her."
15,"Love this as a lightweight coat for cool to cold days. i love the squishy soft feel of the material. it works well with sweaters. love the deep pockets which works with my iphone plus and wallet. i love how simple and practical this coat is. the hood when not used as a hood makes a nice collar for the neck and head."
16,"I have broader shoulders and thick arms, this dress does an amazing job slimming my arms and not making me appear top heavy!
i'm 5'4 125 lbs, the xs fit perfectly"
17,"I'll start with saying that it's a beautiful coat- i get tons of compliments and love the color. it runs a little big but it's meant to have to a slouchy, oversized quality to it. my only complaint is that i've had it for about 3 weeks and already one button has completely fallen off and the two inside fasteners already feel loose and very delicate. there's no extra buttons to replace the old one with and i'm worried more of the coat is going to fall apart. super bummed about the construction qu"
18,"This bra is so well made and fits beautifully."
19,"Snapped this sweet puppy up at my local retailer-in the sale room!!!!! it is beyond fabulous and the coral color is divine!!!! brightens up the drearriest of days-i did size down. i am short and the small sleeves were way too long on my 5ft3in frame. it runs a bit large but if you were to wear a heavier something under it i could see getting your ""normal"" size. the quality is great and the style is just lovely. great jacket-love love love"
20,"Love this coat - great fall piece! i bought the green color and it looks as shown in the picture. great retailer purchase!"
21,"I bought it to mainly wear as a coat but i think it'd be great with some leggings and boots as well. if you want a more structured look go a size smaller. i plan on wearing this more as outer wear so i went with large. the coral is beautiful"
22,"This tunic is very nice. flattering, good design, worn in winter and spring, and fits well. i have a curvy figure, and this fits well. i wish it came in more colors.it does show flaws slightly but fits well and is stretchy."
23,"The top i received was large, really long in length, pockets in the front along the seam, and lots of volume in the back without any princess seams to give it shape. the id #'s matched, but that's about it. returned!"
24,"At first, i thought this sweater might be too boxy, but fastened at the waist, it's very flattering and the collar is face-framing, and the coral in particular (really more of a mango sorbet shade) is unexpected but cheery for winter.

but the big selling point is the warmth and the giant pockets. brought a new puppy home just after christmas, and this sweater is perfect for layering for late- night trips out with an easy place to stash my phone and treats. bought it in coral and pink."
